2017-03-05 18:31:15, patient, Account registered.
2017-03-05 18:31:18, patient, Patient logged in.
2017-03-05 18:31:18, patient, Patient logged in.
2017-03-05 18:31:37, patient, Patient logged in.
2017-03-05 18:31:37, patient, Patient logged in.
2017-03-05 18:32:27, patient, Patient logged in.
2017-03-05 18:32:27, patient, Patient logged in.
2017-03-05 18:32:30, patient, Patient logged in.
2017-03-05 18:32:31, patient, Patient logged in.
2017-03-05 18:32:46, patient, Patient logged in.
2017-03-05 18:32:46, patient, Patient logged in.
2017-03-05 18:32:57, patient, Patient logged in.
2017-03-05 18:32:57, patient, Patient logged in.
2017-03-05 18:33:01, patient, Patient logged in.
2017-03-05 18:33:01, patient, Patient logged in.
2017-03-05 18:33:03, patient, Patient logged in.
2017-03-05 18:33:03, patient, Patient logged in.
2017-03-05 18:36:58, patient, Patient logged in.
2017-03-05 18:36:58, patient, Patient logged in.
2017-03-05 19:16:03, patient, Patient logged in.
2017-03-05 19:16:03, patient, Patient logged in.
2017-03-05 20:13:05, patient, Patient logged in.
2017-03-05 20:13:05, patient, Patient logged in.
2017-03-05 22:30:29, patient, Account registered.
2017-03-05 22:30:30, patient, Patient logged in.
2017-03-05 22:30:30, patient, Patient logged in.
2017-03-05 22:30:42, patient, Patient logged in.
2017-03-05 22:30:42, patient, Patient logged in.
2017-03-05 22:34:10, patient, Patient logged in.
2017-03-05 22:34:10, patient, Patient logged in.
2017-03-05 22:35:41, patient, Patient logged in.
2017-03-05 22:35:41, patient, Patient logged in.
2017-03-05 22:46:28, patient, Patient logged in.
2017-03-05 22:46:28, patient, Patient logged in.
2017-03-05 22:49:11, patient, Patient logged in.
2017-03-05 22:49:11, patient, Patient logged in.
2017-03-05 22:49:14, patient, Patient logged in.
2017-03-05 22:49:14, patient, Patient logged in.
2017-03-05 22:49:43, patient, Patient logged in.
2017-03-05 22:49:43, patient, Patient logged in.
2017-03-05 23:00:11, patient, Patient logged in.
2017-03-05 23:00:11, patient, Patient logged in.
2017-03-05 23:00:38, test, Account registered.
2017-03-05 23:00:40, test, Patient logged in.
2017-03-05 23:00:40, test, Patient logged in.
2017-03-05 23:03:09, new, Account registered.
2017-03-05 23:03:10, new, Patient logged in.
2017-03-05 23:03:10, new, Patient logged in.
2017-03-05 23:03:22, new, Patient logged in.
2017-03-05 23:03:22, new, Patient logged in.
2017-03-05 23:05:05, new, Patient logged in.
2017-03-05 23:05:05, new, Patient logged in.
2017-03-05 23:05:05, new, Patient logged in.
2017-03-05 23:05:05, new, Patient logged in.
2017-03-05 23:12:53, patient, Account registered.
2017-03-05 23:12:54, patient, Patient logged in.
2017-03-05 23:12:54, patient, Patient logged in.
2017-03-06 00:04:15, patient, Patient logged in.
2017-03-06 00:04:15, patient, Patient logged in.
2017-03-06 00:07:40, patient, Changed profile information.
2017-03-06 00:26:11, patient, Patient logged in.
2017-03-06 00:26:11, patient, Patient logged in.
2017-03-06 01:03:48, patient, Patient logged in.
2017-03-06 01:03:48, patient, Patient logged in.
2017-03-06 01:53:27, patient, Patient logged in.
2017-03-06 01:53:27, patient, Patient logged in.
2017-03-06 13:27:05, nurse, Nurse logged in.
2017-03-06 13:29:03, nurse, Nurse logged in.
2017-03-06 13:29:09, nurse, Nurse logged in.
2017-03-06 13:29:09, nurse, Nurse logged in.
2017-03-08 15:31:27, patient, Patient logged in.
2017-03-08 15:31:27, patient, Patient logged in.
2017-03-29 22:17:55, patient, Patient logged in.
2017-03-29 22:17:55, patient, Patient logged in.
2017-03-29 22:18:42, patient, Patient logged in.
2017-03-29 22:18:42, patient, Patient logged in.
2017-03-29 22:18:53, patient, Patient logged in.
2017-03-29 22:18:53, patient, Patient logged in.
2017-03-29 22:18:57, patient, Patient logged in.
2017-03-29 22:18:57, patient, Patient logged in.
2017-03-29 22:19:01, patient, Patient logged in.
2017-03-29 22:19:01, patient, Patient logged in.
2017-03-29 22:19:02, patient, Patient logged in.
2017-03-29 22:19:02, patient, Patient logged in.
2017-03-29 22:19:04, patient, Patient logged in.
2017-03-29 22:19:04, patient, Patient logged in.
2017-03-29 22:19:04, patient, Patient logged in.
2017-03-29 22:19:04, patient, Patient logged in.
2017-03-29 22:19:09, patient, Patient logged in.
2017-03-29 22:19:09, patient, Patient logged in.
2017-03-29 22:26:09, patient, Patient logged in.
2017-03-29 22:26:09, patient, Patient logged in.
2017-03-29 22:26:19, patient, Patient logged in.
2017-03-29 22:26:19, patient, Patient logged in.
2017-03-29 22:26:20, patient, Patient logged in.
2017-03-29 22:26:20, patient, Patient logged in.
2017-03-29 22:26:23, patient, Patient logged in.
2017-03-29 22:26:23, patient, Patient logged in.
2017-04-07 14:42:28, patient, Changed profile information.
